brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Mercedes_benz,Mercedes-Benz EQS SUV 450 5 seater,EQS SUV 580 4MATIC,Rs. 1.41 Crore,N/A,N/A,Electric,N/A,N/A,N/A,809 km,AWD,"Automatic - 1 Gears, Sport Mode",N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,"Regenerative Braking, Pure Electric Driving Mode",N/A,5136 mm,1965 mm,1718 mm,3210 mm,N/A,5 Doors,7 Person,3 Rows,N/A,N/A,N/A,N/A,Disc,Disc,5.6 metres
Mercedes_benz,Mercedes-Benz EQS SUV 450 5 seater,UPCOMING,Coming Soon,N/A,N/A,Electric,N/A,N/A,N/A,N/A,N/A,Automatic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mercedes_benz,Mercedes-Benz G-Class,G-Class Adventure Edition,Rs. 2.55 Crore,"2925 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",OM656 Turbocharged I6,Diesel,326 bhp @ 3600 rpm,700 Nm @ 1200 rpm,N/A,N/A,4WD / AWD,"Automatic (TC) - 9 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4817 mm,1931 mm,1969 mm,2890 mm,241 mm,5 Doors,5 Person,2 Rows,480 litres,100 litres,"Independent, Double Wishbone with Coil Springs","Trailing-Link, Rigid Axle with Coil Springs",Ventilated Disc,Ventilated Disc,6.8 metres
Mercedes_benz,Mercedes-Benz G-Class,G-Class G 400 d AMG Line,Rs. 2.55 Crore,"2925 cc, 6 Cylinders Inline, 4 Valves/Cylinder, DOHC",OM656 Turbocharged I6,Diesel,326 bhp @ 3600 rpm,700 Nm @ 1200 rpm,N/A,N/A,4WD / AWD,"Automatic (TC) - 9 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4817 mm,1931 mm,1969 mm,2890 mm,241 mm,5 Doors,5 Person,2 Rows,480 litres,100 litres,"Independent, Double Wishbone with Coil Springs","Trailing-Link, Rigid Axle with Coil Springs",Ventilated Disc,Ventilated Disc,6.8 metres
Mercedes_benz,Mercedes-Benz G-Class,G-Class AMG G 63 Grand Edition,Rs. 4.00 Crore,"3982 cc, 8 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",4.0-litre V8,Petrol,577 bhp @ 6000 rpm,850 Nm @ 2500 rpm,6.1 kmpl,610 km,4WD / AWD,"Automatic (TC) - 9 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4817 mm,1931 mm,1969 mm,2890 mm,241 mm,5 Doors,5 Person,2 Rows,480 litres,100 litres,"Independent, Double Wishbone with Coil Springs","Trailing-Link, Rigid Axle with Coil Springs",Ventilated Disc,Ventilated Disc,6.8 metres
Mercedes_benz,Mercedes-Benz A-Class Limousine,A-Class Limousine 200,Rs. 46.05 Lakh,"1332 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",1.3L M282 Turbocharged I4,Petrol,161 bhp @ 5500 rpm,270 Nm @ 2000-3500 rpm,N/A,N/A,FWD,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4558 mm,1796 mm,1429 mm,2729 mm,N/A,4 Doors,5 Person,2 Rows,405 litres,43 litres,McPherson Struts,Torsion-Beam Axle,Disc,Disc,N/A
Mercedes_benz,Mercedes-Benz A-Class Limousine,A-Class Limousine 200d,Rs. 48.55 Lakh,"1950 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L,Diesel,147 bhp @ 3400 rpm,320 Nm @ 1400 rpm,N/A,N/A,FWD,"Automatic (DCT) - 8 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,No,Idle Start/Stop,"4, DOHC",4558 mm,1796 mm,1429 mm,2729 mm,N/A,4 Doors,5 Person,2 Rows,395 litres,43 litres,McPherson Struts,Torsion-Beam Axle,Disc,Disc,N/A
Mercedes_benz,Mercedes-Benz C-Class,C-Class C 200,Rs. 61.85 Lakh,"1496 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",M264+EQ Boost,Mild Hybrid(Electric + Petrol),201 bhp @ 5800 rpm,300 Nm @ 1800-4000 rpm,N/A,N/A,RWD,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,"Regenerative Braking, Idle Start/Stop","4, DOHC",4751 mm,1820 mm,1437 mm,2865 mm,N/A,4 Doors,5 Person,2 Rows,455 litres,50 litres,"Four-link front axle, coil springs, gas-pressure shock absorbers, stabiliser","Five-link independent rear suspension, coil springs, gas-pressure shock absorbers, stabiliser",Disc,Disc,N/A
Mercedes_benz,Mercedes-Benz C-Class,C-Class C 220d,Rs. 62.85 Lakh,"1993 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",OM 654,Mild Hybrid (Electric + Diesel),197 bhp @ 3600 rpm,440 Nm @ 1800-2800 rpm,N/A,N/A,RWD,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,"Regenerative Braking, Idle Start/Stop","4, DOHC",4751 mm,1820 mm,1437 mm,2865 mm,N/A,4 Doors,5 Person,2 Rows,455 litres,40 litres,"Four-link front axle, coil springs, gas-pressure shock absorbers, stabiliser","Five-link independent rear suspension, coil springs, gas-pressure shock absorbers, stabiliser",Disc,Disc,N/A
Mercedes_benz,Mercedes-Benz C-Class,C-Class C 300 AMG Line,Rs. 69.00 Lakh,"1999 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",M254,Mild Hybrid(Electric + Petrol),255 bhp @ 5800 rpm,400 Nm @ 2000 rpm,N/A,N/A,RWD,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,No,"Regenerative Braking, Idle Start/Stop","4, DOHC",4793 mm,1820 mm,1446 mm,2865 mm,N/A,4 Doors,5 Person,2 Rows,455 litres,66 litres,"Four-link front axle, coil springs, gas-pressure shock absorbers, stabiliser","Five-link independent rear suspension, coil springs, gas-pressure shock absorbers, stabiliser",Disc,Disc,N/A
