brand_name,car_name,variant_name,variant_price,engine,engine_type,fuel_type,max_power,max_torque,mileage,driving_range,drivetrain,transmission_manual,emission_standard,electric_motor,others,valve_per_cylinder,length,width,height,wheel_base,ground_clearance,doors,seating_capacity,no_of_rows,boot_space,fuel_tank_capacity,front_suspension,rear_suspension,front_brake_type,rear_brake_type,minimum_turning_radius
Audi,Audi A4,A4 Premium 40 TFSI,Rs. 46.02 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,17.4 kmpl,941 km,FWD,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4762 mm,1847 mm,1433 mm,2819 mm,N/A,4 Doors,5 Person,2 Rows,N/A,54 litres,5-link Suspension with Tubular Anti-roll Bar,5-link Suspension with Tubular Anti-roll Bar,Disc,Disc,5.8 metres
Audi,Audi A4,A4 Premium Plus 40 TFSI,Rs. 50.67 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,17.4 kmpl,941 km,FWD,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4762 mm,1847 mm,1433 mm,2819 mm,N/A,4 Doors,5 Person,2 Rows,N/A,54 litres,5-link Suspension with Tubular Anti-roll Bar,5-link Suspension with Tubular Anti-roll Bar,Disc,Disc,5.8 metres
Audi,Audi A4,A4 Technology 40 TFSI,Rs. 54.58 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,201 bhp @ 4475-6000 rpm,320 Nm @ 1450-4475 rpm,17.4 kmpl,941 km,FWD,"Automatic (DCT) - 7 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4762 mm,1847 mm,1433 mm,2819 mm,N/A,4 Doors,5 Person,2 Rows,N/A,54 litres,5-link Suspension with Tubular Anti-roll Bar,5-link Suspension with Tubular Anti-roll Bar,Disc,Disc,5.8 metres
Audi,Audi Q7,Q7 Premium Plus,Rs. 88.66 Lakh,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",3.0 TFSI V6 + 48V Mild-Hybrid System,Petrol,335 bhp @ 5200-6400 rpm,500 Nm @ 1370-4500 rpm,N/A,N/A,AWD,"Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,1 Placed At Integrated with Transmission,Idle Start/Stop,"4, DOHC",5072 mm,1970 mm,1705 mm,3000 mm,N/A,5 Doors,7 Person,3 Rows,N/A,85 litres,5-link Axle; Tubular Anti-roll Bar with Self-leveling Air-springs,5-link Axle; Tubular Anti-roll Bar with Self-leveling Air-springs,Ventilated Disc,Ventilated Disc,N/A
Audi,Audi Q7,Q7 Technology,Rs. 97.81 Lakh,"2995 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",3.0 TFSI V6 + 48V Mild-Hybrid System,Petrol,335 bhp @ 5200-6400 rpm,500 Nm @ 1370-4500 rpm,N/A,N/A,AWD,"Automatic (TC) - 8 Gears, Paddle Shift, Sport Mode",BS6 Phase 2,1 Placed At Integrated with Transmission,Idle Start/Stop,"4, DOHC",5072 mm,1970 mm,1705 mm,3000 mm,N/A,5 Doors,7 Person,3 Rows,N/A,85 litres,5-link Axle; Tubular Anti-roll Bar with Self-leveling Air-springs,5-link Axle; Tubular Anti-roll Bar with Self-leveling Air-springs,Ventilated Disc,Ventilated Disc,N/A
Audi,Audi A6,A6 Premium Plus 45 TFSI,Rs. 64.41 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,261 bhp @ 5250-6500 rpm,370 Nm @ 1600-4500 rpm,14 kmpl,1022 km,FWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4939 mm,1886 mm,1470 mm,2924 mm,N/A,4 Doors,5 Person,2 Rows,N/A,73 litres,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Disc,Disc,5.5 metres
Audi,Audi A6,A6 Technology 45 TFSI W/O Matrix,Rs. 66.26 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,261 bhp @ 5250-6500 rpm,370 Nm @ 1600-4500 rpm,14 kmpl,1022 km,FWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4939 mm,1886 mm,1470 mm,2924 mm,N/A,4 Doors,5 Person,2 Rows,N/A,73 litres,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Disc,Disc,5.5 metres
Audi,Audi A6,A6 Technology 45 TFSI,Rs. 70.79 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L I4 TFSI,Petrol,261 bhp @ 5250-6500 rpm,370 Nm @ 1600-4500 rpm,14 kmpl,1022 km,FWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4939 mm,1886 mm,1470 mm,2924 mm,N/A,4 Doors,5 Person,2 Rows,N/A,73 litres,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Disc,Disc,5.5 metres
Audi,Audi Q3,Q3 40 TFSI Premium,Rs. 44.25 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,192 bhp @ 4200-6000 rpm,320 Nm @ 1500-4100 rpm,14.93 kmpl,896 km,AWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4482 mm,1849 mm,1607 mm,2680 mm,N/A,5 Doors,5 Person,2 Rows,355 litres,62.4 litres,McPherson Struts,4-Link Axle,Ventilated Disc,Ventilated Disc,5.5 metres
Audi,Audi Q3,Q3 40 TFSI Premium Plus,Rs. 48.59 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,192 bhp @ 4200-6000 rpm,320 Nm @ 1500-4100 rpm,14.93 kmpl,896 km,AWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4482 mm,1849 mm,1607 mm,2680 mm,N/A,5 Doors,5 Person,2 Rows,355 litres,62.4 litres,McPherson Struts,4-Link Axle,Ventilated Disc,Ventilated Disc,5.5 metres
Audi,Audi Q3,Q3 40 TFSI Technology,Rs. 53.70 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,192 bhp @ 4200-6000 rpm,320 Nm @ 1500-4100 rpm,14.93 kmpl,896 km,AWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4482 mm,1849 mm,1607 mm,2680 mm,N/A,5 Doors,5 Person,2 Rows,355 litres,62.4 litres,McPherson Struts,4-Link Axle,Ventilated Disc,Ventilated Disc,5.5 metres
Audi,Audi Q3,Q3 Bold Editon,Rs. 54.65 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,192 bhp @ 4200-6000 rpm,320 Nm @ 1500-4100 rpm,N/A,896 km,AWD,"Automatic (DCT) - 7 Gears, Manual Override, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4482 mm,1849 mm,1607 mm,2680 mm,N/A,5 Doors,5 Person,2 Rows,355 litres,62.4 litres,McPherson Struts,4-Link Axle,Ventilated Disc,Ventilated Disc,5.5 metres
Audi,Audi Q8,Q8 55 TFSI quattro,Rs. 1.17 Crore,"2995 cc, 6 Cylinders In V Shape",V6 Petrol,Petrol,335 bhp @ 5200-6400 rpm,500 Nm @ 1370 rpm,N/A,N/A,AWD,"Automatic (TC) - 8 Gears, Paddle Shift",BS6 Phase 2,No,N/A,N/A,4995 mm,1995 mm,1705 mm,2995 mm,N/A,5 Doors,5 Person,2 Rows,605 litres,85 litres,Five-link Suspension with Tubular Anti-roll Bar and Adaptive Air Springs,Five-link Suspension with Tubular Anti-roll Bar and Adaptive Air Springs,Disc,Disc,N/A
Audi,Audi S5 Sportback,S5 Sportback 3.0 TFSI Quattro,Rs. 77.32 Lakh,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",3.0L TFSI V6,Petrol,349 bhp @ 5400 rpm,500 Nm @ 1370-4500 rpm,10.6 kmpl,615 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4765 mm,1845 mm,1390 mm,2825 mm,117 mm,4 Doors,5 Person,2 Rows,465 litres,58 litres,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Disc,Disc,5.8 metres
Audi,Audi S5 Sportback,S5 Sportback Platinum Edition,Rs. 83.15 Lakh,"2994 cc, 6 Cylinders In V Shape, 4 Valves/Cylinder, DOHC",3.0L TFSI V6,Petrol,349 bhp @ 5400 rpm,500 Nm @ 1370-4500 rpm,10.6 kmpl,615 km,AWD,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,Idle Start/Stop,"4, DOHC",4765 mm,1845 mm,1390 mm,2825 mm,117 mm,4 Doors,5 Person,2 Rows,465 litres,58 litres,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Disc,Disc,5.8 metres
Audi,Audi Q5,Q5 Premium Plus 45 TFSI,Rs. 65.51 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,261 bhp @ 5250-6500 rpm,370 Nm @ 1600-4500 rpm,13.4 kmpl,943 km,4WD / AWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,N/A,"4, DOHC",4682 mm,1893 mm,1655 mm,2827 mm,N/A,5 Doors,5 Person,2 Rows,520 litres,70 litres,"5-link, Tubular Anti-roll Bar","5-link, Tubular Anti-roll Bar",Disc,Disc,N/A
Audi,Audi Q5,Q5 Technology 45 TFSI,Rs. 70.80 Lakh,"1984 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC",2.0L TFSI Turbocharged I4,Petrol,261 bhp @ 5250-6500 rpm,370 Nm @ 1600-4500 rpm,13.4 kmpl,943 km,4WD / AWD,"Automatic (DCT) - 7 Gears, Manual Override & Paddle Shift, Sport Mode",BS6 Phase 2,N/A,N/A,"4, DOHC",4682 mm,1893 mm,1655 mm,2827 mm,N/A,5 Doors,5 Person,2 Rows,520 litres,70 litres,"5-link, Tubular Anti-roll Bar with Damper Control","5-link, Tubular Anti-roll Bar with Damper Control",Disc,Disc,N/A
Audi,Audi e-tron GT,e-tron GT S,Rs. 1.72 Crore,"Not Applicable Cylinders Not Applicable, Not Applicable Valves/Cylinder, Not Applicable",2 Electric Motors,Electric,N/A,N/A,N/A,388 km,AWD,Automatic - 1 Gears,N/A,2 Permanent magnet synchronous Placed At One motor each on front and rear axle,Pure Electric Driving Mode,"Not Applicable, Not Applicable",4989 mm,1964 mm,1418 mm,2903 mm,N/A,4 Doors,5 Person,2 Rows,N/A,N/A,Air Suspension,Air Suspension,Disc,Disc,N/A
